company_name,profile_url,overall_rating,total_reviews,industry,description,rating_career_growth,rating_company_culture,rating_compensation_benefits,rating_job_security,rating_skill_development,rating_work_life,rating_work_satisfaction
Amazon,https://www.ambitionbox.com/overview/amazon-overview,3.9,31430,Internet,"From an online bookstore to one of the world&rsquo;s largest e-commerce platforms, Amazon has emerged as the top player in the industry since its inception in 1994. Amazon has built an extensive online mar",3.16,3.96,3.79,3.46,3.6,3.82,3.6
LTIMindtree,https://www.ambitionbox.com/overview/ltimindtree-overview,3.6,26484,IT Services & Consulting,"LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harness",2.8,3.5,3.18,3.54,3.57,3.68,3.4
Concentrix Corporation,https://www.ambitionbox.com/overview/concentrix-corporation-overview,3.6,32277,BPO,"We’re Concentrix Catalyst, the experience transformation and technology team at Concentrix -a global technology and services leader that powers the world’s best brands, today and into the future. We’re",2.82,3.48,3.06,3.85,3.29,3.4,3.27
iEnergizer,https://www.ambitionbox.com/overview/ienergizer-overview,4.6,27105,N/A,N/A,4.44,4.53,4.57,4.54,4.53,4.52,4.51
Jio,https://www.ambitionbox.com/overview/jio-overview,4.4,33609,Telecom,"Reliance Jio Infocomm Limited, a subsidiary of Jio Platforms Limited, has built a world-class all-IP data-strong future-proof network with 4G LTE technology. The network is 5G ready with no legacy infrastr",4.1,4.29,4.26,4.42,4.36,4.32,4.27
IBM,https://www.ambitionbox.com/overview/ibm-overview,3.9,25785,IT Services & Consulting,"IBM (International Business Machines Corporation) is a global technology and consulting company with a mission to make the world work better . With a strong commitment to innovation, IBM",3.04,3.9,3.47,3.86,3.86,4.02,3.66
Axis Bank,https://www.ambitionbox.com/overview/axis-bank-overview,3.6,33236,Banking,"Axis Bank is the third largest private sector bank in India. The Bank offers the entire spectrum of financial services to customer segments covering Large and Mid-Corporates, MSME, Agriculture and Retai",3.24,3.41,3.47,3.53,3.58,3.44,3.34
Kotak Mahindra Bank,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,3.6,22455,N/A,N/A,3.12,3.4,3.38,3.6,3.51,3.49,3.34
Larsen & Toubro Limited,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,3.9,23899,Engineering & Construction,"Larsen &amp; Toubro is an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services. It operates in over 50 countries worldwide. A strong, customer-focused approach and the constant",3.31,3.63,3.75,4.0,3.9,3.44,3.59
Reliance Industries,https://www.ambitionbox.com/overview/reliance-industries-overview,4,20236,Oil & Gas,"Reliance Industries Limited (RIL) is a Fortune 100 company and the largest private sector corporation in India. In just over four decades, we have emerged as one of India&rsquo;s most valuable, stakeholder",3.27,3.81,3.62,4.1,3.94,3.88,3.73
Vodafone Idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,3.9,17597,Telecom,"Vodafone Idea Limited is an Aditya Birla Group and Vodafone Group partnership. It is India&rsquo;s leading telecom service provider. The Company provides pan India Voice and Data services across 2G, 3G and",3.32,3.79,3.87,3.7,3.66,3.81,3.62
HDB Financial Services,https://www.ambitionbox.com/overview/hdb-financial-services-overview,3.9,25682,NBFC,"HDB Financial Services (HDBFS) is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an Aspirational India, serving both Individual &amp; Business Clients. Incorporated i",3.27,3.73,3.43,3.76,3.75,3.75,3.64
